##### NEXT_HD rejection factors #####
source,energyRes,spatialDef,bb0nu,bb0nu_err,Xe137,Xe137_err,Bi214,Bi214_err,Tl208,Tl208_err

# ACTIVE
ACTIVE,0.7,3x3x3,0.23763582089552238,0.00045019381838417075,7.50281214848144e-05,2.0542162393419204e-06,,,,
ACTIVE,0.7,10x10x10,0.28582240663900416,0.00048702876502079403,0.0001471578947368421,2.7830113824004813e-06,,,,
ACTIVE,0.5,3x3x3,0.24592301255230126,0.0004536444818834991,5.6810982048574446e-05,1.7319133544727272e-06,,,,
ACTIVE,0.5,10x10x10,0.2953879417879418,0.0004956257237429373,0.00011291224147568474,2.5122643995801263e-06,,,,

# READOUT_PLANE
READOUT_PLANE,0.7,3x3x3,,,,,1.5612244897959184e-07,1.2621751915156104e-08,9.58804838619767e-08,1.033905847092447e-08
READOUT_PLANE,0.7,10x10x10,,,,,4.65e-07,2.1563858652847823e-08,3.288888888888889e-07,1.9116278371205836e-08
READOUT_PLANE,0.5,3x3x3,,,,,7.807807807807808e-08,8.840601467795643e-09,6.779284285396755e-08,8.679984080803127e-09
READOUT_PLANE,0.5,10x10x10,,,,,2.6299694189602447e-07,1.6373474418153934e-08,2.442152216336772e-07,1.6502535363199042e-08

# CATHODE
CATHODE,0.7,3x3x3,,,,,0.0,0.0,,
CATHODE,0.7,10x10x10,,,,,3.0054097375275496e-09,1.7351741209866532e-09,,
CATHODE,0.5,3x3x3,,,,,1.0024057738572574e-09,1.0024057738572574e-09,,
CATHODE,0.5,10x10x10,,,,,1.0038144950813089e-09,1.0038144950813089e-09,,

# FIELD_CAGE
FIELD_CAGE,0.7,3x3x3,,,,,1.4168377823408624e-07,1.2060924152434015e-08,8.687419947652726e-08,9.836566092696829e-09
FIELD_CAGE,0.7,10x10x10,,,,,5.01e-07,2.238302928559939e-08,2.8333333333333336e-07,1.77430215807459e-08
FIELD_CAGE,0.5,3x3x3,,,,,6.3e-08,7.937253933193772e-09,6.777777777777777e-08,8.678055195451838e-09
FIELD_CAGE,0.5,10x10x10,,,,,2.320328542094456e-07,1.5434595871019414e-08,2.227543576321212e-07,1.5751111682052627e-08

# INNER_SHIELDING
INNER_SHIELDING,0.7,3x3x3,,,,,1.9513659561693186e-08,1.397402185907029e-09,5.0060072086503805e-08,7.079563287810849e-09
INNER_SHIELDING,0.7,10x10x10,,,,,6.852741096438576e-08,2.6182977847743897e-09,1.47e-07,1.2124355652982142e-08
INNER_SHIELDING,0.5,3x3x3,,,,,1.1603481044313294e-08,1.077356168277384e-09,4.5e-08,6.70820393249937e-09
INNER_SHIELDING,0.5,10x10x10,,,,,3.2926341072858286e-08,1.8152879450777677e-09,1.1513816579895876e-07,1.0736689321949948e-08
